iter	Logloss
0	0.6848086683
1	0.6776216339
2	0.6697873214
3	0.6624034908
4	0.6548726051
5	0.648238893
6	0.6413274413
7	0.6347486905
8	0.6285385634
9	0.6239149231
10	0.6177360798
11	0.6118784455
12	0.6067764395
13	0.6005023936
14	0.59431879
15	0.5895207861
16	0.5856584777
17	0.5812288289
18	0.5757866407
19	0.5712599743
20	0.5683439296
21	0.5638578661
22	0.5599172987
23	0.554882354
24	0.5515002349
25	0.5469055985
26	0.5419396917
27	0.5379690969
28	0.535761886
29	0.5329810051
30	0.5298251062
31	0.5271877792
32	0.5247052887
33	0.52128941
34	0.5182551575
35	0.5151203941
36	0.5120582507
37	0.5096511263
38	0.5068711676
39	0.5048233401
40	0.501586352
41	0.5001535631
42	0.497173087
43	0.4946766195
44	0.4922890429
45	0.4905168974
46	0.4888582805
47	0.4867610214
48	0.4846468223
49	0.481070843
50	0.4800132885
51	0.4778658849
52	0.4758871798
53	0.4736262458
54	0.4721485336
55	0.4708356956
56	0.4693708825
57	0.4674186267
58	0.4649860853
59	0.4630033803
60	0.4617278884
61	0.4594676078
62	0.457936033
63	0.4558476919
64	0.4540463139
65	0.4517325901
66	0.4500044617
67	0.4488209429
68	0.4473820009
69	0.4457521744
70	0.4443798682
71	0.443856856
72	0.4423432605
73	0.4410534461
74	0.4392540054
75	0.4379097985
76	0.4374814414
77	0.4357069864
78	0.4348092994
79	0.4343920807
80	0.4334167838
81	0.4321659611
82	0.4318635805
83	0.4298619811
84	0.4281883568
85	0.4271941057
86	0.4260066925
87	0.4256141704
88	0.4248340527
89	0.423539911
90	0.4227106336
91	0.4220688432
92	0.4208459948
93	0.4195369591
94	0.4187067568
95	0.4177885054
96	0.4172397495
97	0.4162684563
98	0.4156166897
99	0.4144536434
100	0.4137458681
101	0.4125425456
102	0.4116871934
103	0.4114612755
104	0.410319447
105	0.409160375
106	0.4082914817
107	0.4074596487
108	0.4070311033
109	0.4066203889
110	0.4063409246
111	0.4054925466
112	0.4048062085
113	0.4045461271
114	0.4040276191
115	0.4031964915
116	0.4021384859
117	0.4014787427
118	0.4006946837
119	0.4001042135
120	0.3998910279
