iter	Passed	Remaining
0	70	350101
1	81	203644
2	93	155433
3	98	122582
4	103	103566
5	110	91577
6	118	84476
7	122	76495
8	128	71231
9	132	65996
10	137	62587
11	141	59009
12	145	55721
13	150	53526
14	156	51908
15	161	50274
16	165	48433
17	169	46999
18	174	45752
19	177	44097
20	178	42301
21	183	41597
22	188	40782
23	192	39861
24	195	38845
25	205	39345
26	211	38908
27	217	38569
28	218	37494
29	221	36686
30	226	36309
31	231	35930
32	234	35279
33	240	35059
34	242	34460
35	248	34322
36	253	34048
37	257	33638
38	261	33303
39	264	32777
40	273	33100
41	275	32516
42	282	32514
43	286	32287
44	290	31972
45	294	31696
46	296	31288
47	300	30996
48	304	30756
49	310	30747
50	313	30379
51	316	30107
52	321	30020
53	325	29788
54	330	29746
55	333	29476
56	337	29240
57	342	29140
58	346	29038
59	352	28995
60	354	28711
61	359	28615
62	364	28576
63	369	28531
64	374	28430
65	379	28372
66	383	28249
67	386	28026
68	389	27870
69	392	27677
70	396	27524
71	398	27268
72	404	27268
73	407	27152
74	412	27114
75	418	27112
76	420	26878
77	424	26803
78	429	26723
79	432	26585
80	437	26587
81	442	26558
82	444	26338
83	450	26367
84	456	26379
85	461	26357
86	466	26336
87	471	26337
88	476	26293
89	480	26239
90	486	26247
91	489	26135
92	494	26103
93	500	26107
94	507	26192
95	512	26205
96	519	26264
97	524	26237
98	530	26249
99	534	26206
100	539	26157
101	542	26049
102	546	25991
103	547	25790
104	552	25745
105	556	25674
106	559	25600
107	564	25576
108	569	25563
109	572	25471
110	576	25393
111	581	25376
112	585	25315
113	587	25183
114	591	25131
115	597	25147
116	602	25134
117	606	25108
118	612	25110
119	616	25072
120	619	24992
121	625	25023
122	630	24987
123	635	24998
124	641	25020
125	647	25039
126	648	24881
127	651	24808
128	655	24760
129	662	24815
130	669	24866
131	673	24831
132	679	24864
133	683	24829
134	690	24883
135	693	24809
136	696	24723
137	701	24705
138	705	24676
139	710	24676
140	715	24660
141	720	24655
142	725	24628
143	731	24678
144	738	24724
145	743	24720
146	746	24632
147	751	24647
148	756	24635
149	762	24665
150	765	24569
151	770	24563
152	773	24512
153	779	24527
154	785	24542
155	791	24575
156	794	24513
157	798	24484
158	802	24448
159	807	24419
160	812	24420
161	815	24360
162	819	24327
163	825	24329
164	830	24342
165	836	24365
166	842	24389
167	846	24360
168	851	24339
169	855	24305
170	858	24242
171	862	24207
172	868	24242
173	870	24139
174	875	24129
175	877	24056
176	879	23965
177	882	23897
178	886	23884
179	893	23913
180	899	23943
181	906	23986
182	909	23944
183	914	23940
184	918	23905
185	922	23871
186	927	23870
187	932	23864
188	936	23836
189	942	23855
190	948	23875
191	955	23923
192	956	23827
193	960	23787
194	964	23764
195	968	23745
196	973	23746
197	978	23734
198	983	23715
199	988	23723
200	991	23683
201	997	23686
202	999	23614
203	1005	23629
204	1010	23645
205	1014	23602
206	1019	23617
207	1023	23586
208	1025	23503
209	1030	23500
210	1034	23487
211	1037	23435
212	1046	23518
213	1051	23506
214	1054	23473
215	1062	23532
216	1068	23552
217	1075	23595
218	1080	23585
219	1084	23555
220	1089	23563
221	1097	23614
222	1102	23611
223	1106	23602
224	1110	23574
225	1113	23526
226	1117	23501
227	1123	23508
228	1127	23499
229	1133	23513
230	1136	23456
231	1142	23489
232	1149	23522
233	1156	23557
234	1159	23513
235	1164	23508
236	1170	23517
237	1174	23498
238	1179	23499
